iter	RMSE
0	26.49247033
1	26.48951607
2	26.48650269
3	26.48387425
4	26.48189543
5	26.47897011
6	26.47729465
7	26.47512159
8	26.47312143
9	26.47148856
10	26.47009754
11	26.46825593
12	26.46671381
13	26.46492034
14	26.46384423
15	26.46265532
16	26.46093441
17	26.45996606
18	26.45801307
19	26.45667441
20	26.45522034
21	26.45345148
22	26.45172785
23	26.4506643
24	26.44934886
25	26.44783484
26	26.44661669
27	26.44482634
28	26.44356686
29	26.44190742
30	26.44069032
31	26.43946593
32	26.43780629
33	26.43621268
34	26.43477552
35	26.43347051
36	26.43225654
37	26.43093864
38	26.42951457
39	26.42850007
40	26.42675261
41	26.42577188
42	26.42427836
43	26.42271748
44	26.42108482
45	26.41990023
46	26.41859382
47	26.41721867
48	26.41570195
49	26.41385655
50	26.41244725
51	26.41143481
52	26.40994927
53	26.40853382
54	26.40724126
55	26.40589854
56	26.40439055
57	26.40263657
58	26.40140042
59	26.40027424
60	26.39930132
61	26.39811851
62	26.39681856
63	26.39563867
64	26.39424165
65	26.39270438
66	26.3911035
67	26.39000433
68	26.3887493
69	26.387566
70	26.385933
71	26.38463322
72	26.38327157
73	26.38168649
74	26.38053769
75	26.37919297
76	26.37746624
77	26.37615734
78	26.37530494
79	26.37394146
80	26.37277824
81	26.3719245
82	26.3703206
83	26.3690171
84	26.36750249
85	26.36588148
86	26.36456841
87	26.36316277
88	26.36161985
89	26.35992035
90	26.35849098
91	26.35732101
92	26.35596704
93	26.35461566
94	26.35318345
95	26.35141496
96	26.34969143
97	26.34792997
98	26.34634587
99	26.3445784
100	26.34337206
101	26.34225213
102	26.34088364
103	26.33940231
104	26.33779274
105	26.33647359
106	26.33475267
107	26.33332878
108	26.33211288
109	26.33081843
110	26.32977387
111	26.32787939
112	26.32596389
113	26.32432675
114	26.32298154
115	26.32155662
116	26.32030186
117	26.3189703
118	26.31776361
119	26.31652228
120	26.31512781
121	26.31372466
122	26.31211154
123	26.3106094
124	26.30935493
125	26.30817498
126	26.30679616
127	26.30555531
128	26.3043879
129	26.30302103
130	26.30167133
131	26.30027696
132	26.29826406
133	26.29731392
134	26.29647263
135	26.2952416
136	26.29371716
137	26.29209915
138	26.2905985
139	26.28918373
140	26.28811166
141	26.28690827
142	26.28547687
143	26.28389938
144	26.2822895
145	26.28090962
146	26.27987498
147	26.2786008
148	26.27739839
149	26.27572879
150	26.27410267
151	26.27279275
152	26.27143583
153	26.26984919
154	26.26838092
155	26.26720549
156	26.26573522
157	26.26424105
158	26.26321779
159	26.26211862
160	26.26077351
161	26.25966802
162	26.25858735
163	26.2571347
164	26.25603203
165	26.25412941
166	26.25276112
167	26.25163202
168	26.24998453
169	26.24879401
170	26.24777309
171	26.24647304
172	26.24549371
173	26.24403339
174	26.24310565
175	26.24216908
176	26.24117273
177	26.23968224
178	26.23832318
179	26.23732765
180	26.23631577
181	26.23520227
182	26.23387662
183	26.23243896
184	26.23105434
185	26.22967669
186	26.22855028
187	26.22750291
188	26.22593362
189	26.22472749
190	26.22361107
191	26.22246047
192	26.2209851
193	26.21958993
194	26.21844456
195	26.21736887
196	26.21637973
197	26.21561476
198	26.21415263
199	26.21306223
200	26.21203339
201	26.21026451
202	26.20908562
203	26.20809795
204	26.20672294
205	26.20533077
206	26.20362483
207	26.20235127
208	26.20125431
209	26.20015182
210	26.19870969
211	26.19727417
212	26.19609869
213	26.19502979
214	26.19383855
215	26.19270001
216	26.19142781
217	26.19032339
218	26.18921183
219	26.18844777
220	26.18747572
221	26.18619653
222	26.18523964
223	26.18388745
224	26.18265212
225	26.18141219
226	26.18029119
227	26.17895187
228	26.17761223
229	26.17641484
230	26.17540099
231	26.17403903
232	26.17271248
233	26.17131756
234	26.17033355
235	26.16906313
236	26.16763924
237	26.1664734
238	26.16520742
239	26.16400253
240	26.16290086
241	26.1615727
242	26.16023786
243	26.15912514
244	26.15780117
245	26.15649096
246	26.15508177
247	26.15361804
248	26.15265564
249	26.15139822
250	26.14992628
251	26.14888846
252	26.14771817
253	26.14685141
254	26.14546957
255	26.14422143
256	26.14306193
257	26.14179637
258	26.14097411
259	26.1399476
260	26.13831833
261	26.13722584
262	26.13609409
263	26.13468549
264	26.1335296
265	26.1324887
266	26.13148689
267	26.13043266
268	26.12901483
269	26.12773426
270	26.1265546
271	26.12527988
272	26.12380238
273	26.12270834
274	26.12195148
275	26.12100348
276	26.12016164
277	26.11926707
278	26.11797139
279	26.11711188
280	26.11615357
281	26.11498866
282	26.11354076
283	26.11211817
284	26.11109339
285	26.1099336
